player_name,game_date,season,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Wheeler, Zack",2019-03-31,2019,5,43,3,96.3,2340,-0.95,1.4,6.5,0,2
"Alcantara, Sandy",2019-03-31,2019,8,54,8,96,2304,-0.88,1.14,5.6,3,2
"Alcantara, Sandy",2019-03-31,2019,8,54,7,94.9,2344,-0.84,1.07,5.8,3,2
"Alcantara, Sandy",2019-03-31,2019,8,54,5,94.3,2183,-0.88,1.23,5.6,3,1
"Alcantara, Sandy",2019-03-31,2019,8,54,4,93.6,2211,-0.65,1.29,6,3,0
"Alcantara, Sandy",2019-03-31,2019,8,54,3,93.6,2104,-0.78,1.17,5.6,2,0
"Wheeler, Zack",2019-03-31,2019,5,41,4,97,2325,-0.96,1.54,6.9,2,1
"Alcantara, Sandy",2019-03-31,2019,8,53,5,95.7,2198,-0.62,1.14,6,1,2
"Wheeler, Zack",2019-03-31,2019,5,41,1,96.2,2348,-1.08,1.6,6.9,0,0
"Wheeler, Zack",2019-03-31,2019,5,39,6,97.5,2327,-1.03,1.22,6.5,3,2
"Alcantara, Sandy",2019-03-31,2019,7,45,4,94.7,2263,-0.61,1.09,5.6,2,1
"Alcantara, Sandy",2019-03-31,2019,7,45,3,95.4,2326,-0.58,1.15,5.7,2,0
"Wheeler, Zack",2019-03-31,2019,4,34,1,94.4,2194,-1.1,1.3,6.9,0,0
"Alcantara, Sandy",2019-03-31,2019,7,45,2,95.5,2328,-0.64,1.26,5.7,1,0
"Alcantara, Sandy",2019-03-31,2019,7,45,1,95.4,2180,-0.67,1.06,5.4,0,0
"Alcantara, Sandy",2019-03-31,2019,7,44,3,96.3,2241,-0.79,1.36,5.7,1,1
"Alcantara, Sandy",2019-03-31,2019,7,44,2,95.1,2268,-0.8,1.31,6,1,0
"Alcantara, Sandy",2019-03-31,2019,6,39,3,96.9,2369,-0.74,1.26,5.9,1,1
"Wheeler, Zack",2019-03-31,2019,4,32,3,96.5,2175,-0.93,1.43,6.3,0,2
"Wheeler, Zack",2019-03-31,2019,3,27,6,98.1,2461,-0.55,1.58,6.8,3,2
"Alcantara, Sandy",2019-03-31,2019,6,38,4,99.3,2432,-0.51,1.29,5.7,1,2
"Alcantara, Sandy",2019-03-31,2019,6,38,3,99,2366,-0.81,1.06,5.8,0,2
"Wheeler, Zack",2019-03-31,2019,3,27,3,97.1,2412,-0.82,0.97,6.8,1,1
"Alcantara, Sandy",2019-03-31,2019,6,37,2,96.2,2383,-0.71,1.3,5.6,0,1
"Wheeler, Zack",2019-03-31,2019,3,26,6,98.7,2478,-1.11,1.43,6.7,3,2
"Alcantara, Sandy",2019-03-31,2019,6,37,1,93.7,2374,-0.8,1.26,5.6,0,0
"Alcantara, Sandy",2019-03-31,2019,4,24,1,95.5,2353,-0.7,1.33,5.7,0,0
"Alcantara, Sandy",2019-03-31,2019,4,23,2,98.3,2378,-0.79,1.31,5.6,0,1
"Alcantara, Sandy",2019-03-31,2019,4,23,1,97.1,2306,-0.79,1.4,5.6,0,0
"Wheeler, Zack",2019-03-31,2019,2,16,4,98.1,2364,-1.18,1.52,6.8,1,2
"Alcantara, Sandy",2019-03-31,2019,4,22,4,98.2,2323,-0.71,1.23,5.8,1,2
"Wheeler, Zack",2019-03-31,2019,2,16,3,97.4,2314,-1.08,1.4,6.6,0,2
"Alcantara, Sandy",2019-03-31,2019,3,18,2,97.3,2447,-0.53,1.11,5.9,1,0
"Wheeler, Zack",2019-03-31,2019,2,15,4,98.2,2504,-1,1.5,6.9,2,1
"Wheeler, Zack",2019-03-31,2019,2,15,2,97.1,2395,-0.69,1.64,6.4,1,0
"Alcantara, Sandy",2019-03-31,2019,3,16,2,94.1,2206,-0.88,1.22,5.8,0,1
"Alcantara, Sandy",2019-03-31,2019,3,16,1,96.6,2385,-0.69,1.36,5.6,0,0
"Wheeler, Zack",2019-03-31,2019,2,14,1,96.8,2324,-1.12,1.45,6.4,0,0
"Alcantara, Sandy",2019-03-31,2019,2,10,1,97.4,2346,-0.69,1.37,4.6,0,0
"Wheeler, Zack",2019-03-31,2019,1,8,2,97.6,2517,-1.29,1.69,6.7,1,0
"Wheeler, Zack",2019-03-31,2019,1,7,7,98.3,2406,-1.06,1.57,7.1,3,2
"Wheeler, Zack",2019-03-31,2019,1,7,5,97.2,2244,-0.74,1.43,7,3,1
"Wheeler, Zack",2019-03-31,2019,1,7,2,96.4,2127,-0.93,1.36,7.1,1,0
"Wheeler, Zack",2019-03-31,2019,1,7,1,96.7,2206,-1.1,1.36,7.4,0,0
"Alcantara, Sandy",2019-03-31,2019,1,3,1,96.8,2369,-0.63,1.46,5.4,0,0
