player_name,game_date,season,pitch_type,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-04-03,2019,SL,3,24,6,88.2,2451,0.49,0.08,5.7,3,2
"Cole, Gerrit",2019-04-03,2019,FF,3,24,5,97.5,2474,-0.61,1.39,6.4,2,2
"Cole, Gerrit",2019-04-03,2019,FF,3,24,4,98.7,2658,-0.81,1.49,6.3,1,2
"Cole, Gerrit",2019-04-03,2019,FF,3,24,3,97.1,2520,-0.69,1.55,6.4,1,1
"Cole, Gerrit",2019-04-03,2019,SL,3,24,2,88.6,2576,0.49,0.2,5.7,1,0
"Cole, Gerrit",2019-04-03,2019,FF,3,24,1,95.2,2514,-1.22,1.58,6,0,0
"Cole, Gerrit",2019-04-03,2019,KC,3,23,3,83,2997,0.93,-1.56,5.6,1,1
"Cole, Gerrit",2019-04-03,2019,FF,3,23,2,96.5,2421,-0.75,1.52,5.8,0,1
"Cole, Gerrit",2019-04-03,2019,FF,3,23,1,96.1,2494,-0.8,1.42,6.1,0,0
"Cole, Gerrit",2019-04-03,2019,SL,3,22,6,88.4,NA,0.69,0.01,5.7,2,2
"Cole, Gerrit",2019-04-03,2019,KC,3,22,5,82.9,2940,1.37,-1.24,5.8,2,2
"Cole, Gerrit",2019-04-03,2019,KC,3,22,4,83,2981,1.39,-1.45,5.9,1,2
"Cole, Gerrit",2019-04-03,2019,CH,3,22,3,86.5,1524,-1.15,1.39,6.3,1,1
"Cole, Gerrit",2019-04-03,2019,SL,3,22,2,88.2,2421,0.49,0.26,5.7,0,1
"Cole, Gerrit",2019-04-03,2019,FF,3,22,1,95.5,2572,-0.95,1.67,6.1,0,0
"Cole, Gerrit",2019-04-03,2019,FF,2,17,6,97.7,2640,-0.87,1.51,6.1,3,2
"Cole, Gerrit",2019-04-03,2019,FF,2,17,5,97.4,2577,-0.7,1.45,6,2,2
"Cole, Gerrit",2019-04-03,2019,FF,2,17,4,97.4,2617,-1.05,1.48,6.1,1,2
"Cole, Gerrit",2019-04-03,2019,FF,2,17,3,96,2570,-0.88,1.44,6.1,1,1
"Cole, Gerrit",2019-04-03,2019,KC,2,17,2,83.3,3004,1.2,-1.53,5.6,0,1
"Cole, Gerrit",2019-04-03,2019,FF,2,17,1,96.1,2555,-0.7,1.7,6.2,0,0
"Cole, Gerrit",2019-04-03,2019,KC,2,16,4,84.2,2986,1.43,-1.39,5.4,1,2
"Cole, Gerrit",2019-04-03,2019,FF,2,16,3,96,2463,-0.62,1.6,6,1,1
"Cole, Gerrit",2019-04-03,2019,CH,2,16,2,88.7,1809,-1.1,1.22,6.2,0,1
"Cole, Gerrit",2019-04-03,2019,FF,2,16,1,96.7,2553,-0.81,1.5,5.9,0,0
"Cole, Gerrit",2019-04-03,2019,SL,2,15,5,87.2,2627,0.51,0.07,5.6,1,2
"Cole, Gerrit",2019-04-03,2019,FF,2,15,4,97.1,2477,-0.75,1.59,6.2,1,2
"Cole, Gerrit",2019-04-03,2019,SL,2,15,3,88.1,2476,0.5,0.3,5.8,1,1
"Cole, Gerrit",2019-04-03,2019,SL,2,15,2,88.6,2534,0.52,0.59,5.8,1,0
"Cole, Gerrit",2019-04-03,2019,FF,2,15,1,94.3,2508,-0.96,1.48,5.8,0,0
"Cole, Gerrit",2019-04-03,2019,FF,1,10,4,98.5,2532,-0.88,1.58,5.9,0,2
"Cole, Gerrit",2019-04-03,2019,SL,1,10,3,90,2617,0.5,-0.01,5.8,0,2
"Cole, Gerrit",2019-04-03,2019,FF,1,10,2,97,2559,-1.17,1.21,6.3,0,1
"Cole, Gerrit",2019-04-03,2019,FF,1,10,1,98.8,2526,-0.69,1.61,6.6,0,0
"Cole, Gerrit",2019-04-03,2019,SL,1,9,6,88.1,2649,0.78,0.5,5.8,3,2
"Cole, Gerrit",2019-04-03,2019,FF,1,9,5,98.2,2596,-0.86,1.56,6,2,2
"Cole, Gerrit",2019-04-03,2019,FF,1,9,4,96.7,2575,-0.95,1.66,6.1,2,1
"Cole, Gerrit",2019-04-03,2019,SL,1,9,3,90.4,2431,0.4,0.77,5.7,2,0
"Cole, Gerrit",2019-04-03,2019,FF,1,9,2,96.1,2475,-1.05,1.25,6.3,1,0
